code,sex1or0,age,PA150m1or0,cdrisc_total,POMmean,CMAAS_total,Resilience_personalcompetence,Resilience_tolerance,Resilience_positiveaccept,Resilience_control,Resilience_spiritual
1155,1,24,0,72,4.142857143,67,2.5,2.857142857,3.2,2.666666667,4
1130,1,20,0,72,4.714285714,67,2.375,2.714285714,3.2,3.333333333,4
203,0,20,0,72,4,77,2.75,2.714285714,3.6,2.333333333,3
1145,1,22,1,71,4.142857143,40,2.625,3.142857143,2.8,3,2.5
144,0,21,0,71,3.857142857,62,2.875,2.857142857,2.8,2.666666667,3
1099,0,22,1,71,3.714285714,71,2.5,3.571428571,3,1.666666667,3
1132,1,22,0,71,3.857142857,57,2.625,2.857142857,3,3,3
136,1,20,1,71,3.571428571,65,2.875,2.714285714,3,2.666666667,3
214,1,18,1,71,3,42,2.75,2.571428571,3,3.333333333,3
1150,1,28,1,71,3,44,2.375,2.857142857,3.4,3,3
177,1,21,1,71,2.142857143,51,3.5,2,3.4,2.666666667,2
1022,1,20,1,70,2.857142857,59,3.125,3,2.6,1.333333333,3.5
1147,1,20,0,70,3.571428571,71,2.625,2.857142857,2.6,3.666666667,2.5
40,1,20,1,70,3.571428571,82,2.75,3,2.8,2.333333333,3
1167,1,22,1,70,3.857142857,51,2.75,2.857142857,2.8,2.666666667,3
21234,0,21,1,70,3.857142857,47,3,2.714285714,2.8,2.666666667,2.5
157,1,19,0,70,3,54,2.875,2.571428571,2.8,3,3
1084,1,29,1,70,4,67,3,2.428571429,2.8,2.666666667,3.5
1154,1,21,1,70,4,62,3,2.857142857,3,2.333333333,2
1025,1,22,1,70,3.857142857,57,2.875,2.714285714,3,2.666666667,2.5
1055,0,22,1,70,3.428571429,57,2.75,2.857142857,3.2,2.333333333,2.5
1005,0,22,1,70,3.857142857,54,2.5,2.285714286,3.6,3,3.5
1063,1,21,0,69,3.857142857,53,2.75,3.285714286,2,2.666666667,3
158,0,20,1,69,4.571428571,65,3.5,2.857142857,2.6,2,1
19,1,18,1,69,4.142857143,50,2.75,3,2.8,2.333333333,2.5
1105,1,26,0,69,3.714285714,53,2.75,2.857142857,2.8,2.333333333,3
1157,1,23,0,69,4,81,2.625,2.714285714,2.8,2.666666667,3.5
1091,1,21,0,69,3.285714286,75,2.875,2.714285714,2.8,2.666666667,2.5
53,1,19,0,69,4.571428571,69,2.875,2.571428571,2.8,3.333333333,2
196,1,21,1,69,3.428571429,58,3.125,2.714285714,3,1.666666667,2.5
1009,0,22,1,69,2.857142857,57,2.875,2.428571429,3,3,2.5
192,1,22,1,69,3,39,2.625,2.142857143,3,3.666666667,3.5
128,0,19,1,69,4,65,3.125,2.142857143,3,3,2.5
1109,0,20,1,69,2.857142857,46,2.75,2.571428571,3.2,2.666666667,2.5
14,0,19,0,69,4.428571429,56,2.875,2.571428571,3.2,2.666666667,2
96,1,19,1,69,3.857142857,47,2.875,2.428571429,3.2,2.666666667,2.5
31,0,21,0,68,3.714285714,57,3.125,2.571428571,2.2,3,2.5
1080,1,21,0,68,3.428571429,70,3.25,2.571428571,2.4,3,1.5
1149,1,21,0,68,3.428571429,60,2.5,2.714285714,2.6,3,3.5
89,0,20,1,68,3.285714286,54,2.5,2.857142857,3,2.666666667,2.5
1029,0,24,0,68,3.285714286,62,2.75,2.714285714,3,2.666666667,2
1160,0,24,1,68,3.571428571,61,2.5,2.571428571,3,3.333333333,2.5
137,1,23,1,68,4,55,2.5,2.571428571,3,3,3
1003,0,22,1,68,3.857142857,66,2.75,2.285714286,3,3,3
166,0,19,1,68,4,59,2.75,2.571428571,3.2,2.333333333,2.5
64,1,19,0,68,3.714285714,60,2.75,2.428571429,3.2,3,2
1110,1,22,0,68,3.285714286,63,2.625,2.857142857,3.4,2.666666667,1
1024,0,20,1,68,4,52,2.5,2.857142857,3.4,2.333333333,2
28,0,20,1,68,2.857142857,66,2.625,2.428571429,3.4,2,3.5
108,0,20,1,68,4,80,2.75,2.571428571,3.6,1.333333333,3
1,0,21,0,67,3.285714286,39,3.25,2.857142857,2.2,2.333333333,1.5
86,1,20,0,67,2.714285714,47,2.75,2.571428571,2.4,3,3
161,0,20,1,67,3,79,2.375,2.857142857,2.6,3,3
1083,0,20,1,67,4,79,2.875,2.285714286,2.6,3,3
155,1,18,1,67,3.428571429,50,3.375,2,2.6,2,3.5
152,0,20,1,67,3,65,2.625,2.857142857,2.8,2.333333333,2.5
212,1,19,1,67,4,71,2.625,2.714285714,2.8,2.666666667,2.5
62,0,20,1,67,4,62,2.625,2.571428571,2.8,2.333333333,3.5
21233,0,21,1,67,3.714285714,60,2.75,2.428571429,3,2.666666667,2.5
1096,0,22,1,67,3.857142857,59,2.75,2.857142857,3.2,1.666666667,2
12,1,19,1,67,2.571428571,57,2.375,2.714285714,3.2,2.666666667,2.5
1010,1,22,1,67,4,66,2.125,3.142857143,3.4,2.333333333,2
1060,0,20,1,66,3.285714286,61,2.875,3.285714286,1.8,2.333333333,2
220,1,20,1,66,3.571428571,40,2.75,3.285714286,2.4,1.666666667,2
1116,1,21,0,66,2.142857143,55,3.125,2.571428571,2.4,3,1
151,0,19,1,66,3.428571429,67,2.625,2.857142857,2.6,2,3
1023,1,20,0,66,3.857142857,58,2.75,2.714285714,2.6,2.333333333,2.5
180,0,21,1,66,2.857142857,42,2.375,2.714285714,2.8,3,2.5
185,1,20,1,66,2.285714286,41,2.5,2.428571429,2.8,3.333333333,2.5
133,0,19,1,66,3.714285714,72,2.5,2.857142857,3,2,2.5
4,0,19,1,66,4.857142857,73,2.625,2.714285714,3,2.333333333,2
1012,0,22,1,66,3.714285714,62,2.625,2.428571429,3,2.333333333,3
67,0,21,1,66,2.857142857,47,2.625,2.571428571,3.2,2,2.5
105,0,21,0,65,3.142857143,53,2.5,2.714285714,2.2,3,3
1120,0,23,1,65,2.857142857,38,2.75,2.571428571,2.4,2.333333333,3
76,0,20,1,65,4.285714286,74,2.375,2.857142857,2.8,3,1.5
1076,0,22,1,65,3.285714286,64,2.375,2.714285714,2.8,3,2
167,1,22,1,65,4,65,2.75,2.571428571,2.8,2.333333333,2
1166,1,22,1,65,3.857142857,53,2.5,2.857142857,3,2.333333333,1.5
